[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\franka_v2_200_known_L1_off_20260713_153905.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-13_15-39-05.log[0m
[36m======================================================================================================================[0m

[33m15:39:06 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262466e-01 -7.6293945e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114441e-01 1.7166138e-05 1.5809889e+00]
[INFO] p_lift  (env-local): [0.3030758  0.20731735 1.7333386 ]
[INFO]: L1 Filter Enabled: False
Num Samples: 200
t=000.5s | Phase 1: Approach  | EE err: 0.369 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  70.5/200 | plan:  199.2 ms
t=001.0s | Phase 1: Approach  | EE err: 0.349 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  74.0/200 | plan:  194.8 ms
t=001.5s | Phase 1: Approach  | EE err: 0.337 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  70.9/200 | plan:  205.3 ms
t=002.0s | Phase 1: Approach  | EE err: 0.327 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  64.6/200 | plan:  208.1 ms
t=002.5s | Phase 1: Approach  | EE err: 0.317 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  46.4/200 | plan:  202.8 ms
t=003.0s | Phase 1: Approach  | EE err: 0.298 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  42.4/200 | plan:  199.4 ms
t=003.5s | Phase 1: Approach  | EE err: 0.280 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  54.4/200 | plan:  177.9 ms
t=004.0s | Phase 1: Approach  | EE err: 0.260 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  48.3/200 | plan:  192.9 ms
t=004.5s | Phase 1: Approach  | EE err: 0.242 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  71.5/200 | plan:  203.0 ms
t=005.0s | Phase 1: Approach  | EE err: 0.227 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  87.5/200 | plan:  208.1 ms
t=005.5s | Phase 1: Approach  | EE err: 0.215 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  93.2/200 | plan:  207.8 ms
t=006.0s | Phase 1: Approach  | EE err: 0.204 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  76.4/200 | plan:  194.1 ms
[CHECK] env0 hand mass now: 2.180 kg
[EVENT] t=6.01s GRASP: +1.5 kg on ALL envs  [WARN: grasped while 0.21 m from target]
t=006.5s | Phase 2: Transport | EE err: 0.250 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  67.9/200 | plan:  187.0 ms
t=007.0s | Phase 2: Transport | EE err: 0.225 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  76.6/200 | plan:  197.3 ms
t=007.5s | Phase 2: Transport | EE err: 0.205 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  92.6/200 | plan:  185.7 ms
t=008.0s | Phase 2: Transport | EE err: 0.195 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS: 102.7/200 | plan:  184.1 ms
t=008.5s | Phase 2: Transport | EE err: 0.179 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  86.7/200 | plan:  192.8 ms
t=009.0s | Phase 2: Transport | EE err: 0.147 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  80.7/200 | plan:  208.2 ms
t=009.5s | Phase 2: Transport | EE err: 0.128 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  95.3/200 | plan:  193.3 ms
t=010.0s | Phase 2: Transport | EE err: 0.116 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  89.5/200 | plan:  192.5 ms
t=010.5s | Phase 2: Transport | EE err: 0.111 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS: 106.0/200 | plan:  187.8 ms
t=011.0s | Phase 2: Transport | EE err: 0.108 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS: 108.7/200 | plan:  206.6 ms
t=011.5s | Phase 2: Transport | EE err: 0.107 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS: 114.2/200 | plan:  190.9 ms
t=012.0s | Phase 2: Transport | EE err: 0.105 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS: 117.7/200 | plan:  206.7 ms
t=012.5s | Phase 2: Transport | EE err: 0.105 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  97.6/200 | plan:  194.4 ms
t=013.0s | Phase 2: Transport | EE err: 0.104 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS: 108.5/200 | plan:  203.7 ms
t=013.5s | Phase 2: Transport | EE err: 0.103 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS: 118.8/200 | plan:  202.5 ms
t=014.0s | Phase 2: Transport | EE err: 0.103 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS: 110.2/200 | plan:  189.7 ms
t=014.5s | Phase 2: Transport | EE err: 0.104 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  49.6/200 | plan:  193.7 ms
t=015.0s | Phase 2: Transport | EE err: 0.103 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS: 102.8/200 | plan:  194.3 ms
t=015.5s | Phase 2: Transport | EE err: 0.102 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS: 107.8/200 | plan:  209.2 ms
t=016.0s | Phase 2: Transport | EE err: 0.104 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS: 110.3/200 | plan:  182.2 ms
