[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\franka_v2_200_known_L1_on_20260716_151726.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-16_15-17-26.log[0m
[36m======================================================================================================================[0m

[33m15:17:27 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262466e-01 -7.6293945e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114441e-01 1.7166138e-05 1.5809889e+00]
[INFO] p_lift  (env-local): [0.3030758  0.20731735 1.7333386 ]
[INFO] Viscous friction on env 0: c=0.0
[INFO]: L1 Filter Enabled: True
Num Samples: 200
t=000.5s | Phase 1: Approach  | EE err: 0.374 m | L1 sh:  +0.1 | L1 elbow:  -0.3 N-m | dq sh: -0.06 | dq el: -0.28 rad/s | ESS:  81.4/200 | plan:  216.4 ms
t=001.0s | Phase 1: Approach  | EE err: 0.353 m | L1 sh:  +0.3 | L1 elbow:  -0.2 N-m | dq sh: -0.05 | dq el: -0.29 rad/s | ESS:  85.6/200 | plan:  223.9 ms
t=001.5s | Phase 1: Approach  | EE err: 0.337 m | L1 sh:  +0.3 | L1 elbow:  -0.0 N-m | dq sh: -0.10 | dq el: -0.37 rad/s | ESS:  65.9/200 | plan:  199.1 ms
t=002.0s | Phase 1: Approach  | EE err: 0.328 m | L1 sh:  +0.1 | L1 elbow:  +0.1 N-m | dq sh: -0.18 | dq el: -0.48 rad/s | ESS:  71.5/200 | plan:  198.3 ms
t=002.5s | Phase 1: Approach  | EE err: 0.321 m | L1 sh:  -0.1 | L1 elbow:  +0.2 N-m | dq sh: -0.12 | dq el: -0.44 rad/s | ESS:  70.2/200 | plan:  200.6 ms
t=003.0s | Phase 1: Approach  | EE err: 0.308 m | L1 sh:  -0.9 | L1 elbow:  +0.6 N-m | dq sh: -0.10 | dq el: -0.47 rad/s | ESS:  38.8/200 | plan:  211.2 ms
t=003.5s | Phase 1: Approach  | EE err: 0.289 m | L1 sh:  -1.8 | L1 elbow:  +1.2 N-m | dq sh: -0.07 | dq el: -0.40 rad/s | ESS:  29.1/200 | plan:  198.1 ms
t=004.0s | Phase 1: Approach  | EE err: 0.263 m | L1 sh:  -2.0 | L1 elbow:  +1.4 N-m | dq sh: -0.05 | dq el: -0.39 rad/s | ESS:  57.8/200 | plan:  204.8 ms
t=004.5s | Phase 1: Approach  | EE err: 0.238 m | L1 sh:  -2.1 | L1 elbow:  +1.6 N-m | dq sh: -0.07 | dq el: -0.43 rad/s | ESS:  76.8/200 | plan:  224.0 ms
t=005.0s | Phase 1: Approach  | EE err: 0.215 m | L1 sh:  -2.3 | L1 elbow:  +1.6 N-m | dq sh: -0.03 | dq el: -0.34 rad/s | ESS:  72.9/200 | plan:  207.8 ms
t=005.5s | Phase 1: Approach  | EE err: 0.191 m | L1 sh:  -2.3 | L1 elbow:  +1.7 N-m | dq sh: -0.10 | dq el: -0.48 rad/s | ESS:  84.2/200 | plan:  221.9 ms
t=006.0s | Phase 1: Approach  | EE err: 0.172 m | L1 sh:  -2.2 | L1 elbow:  +1.7 N-m | dq sh: -0.09 | dq el: -0.46 rad/s | ESS:  62.5/200 | plan:  225.6 ms
[CHECK] env0 hand mass now: 2.180 kg
[EVENT] t=6.01s GRASP: +1.5 kg on ALL envs  [WARN: grasped while 0.17 m from target]
t=006.5s | Phase 2: Transport | EE err: 0.205 m | L1 sh:  -2.2 | L1 elbow:  +2.1 N-m | dq sh: -0.34 | dq el: -0.44 rad/s | ESS:  91.8/200 | plan:  209.8 ms
t=007.0s | Phase 2: Transport | EE err: 0.156 m | L1 sh:  -2.5 | L1 elbow:  +1.4 N-m | dq sh: -0.37 | dq el: -0.17 rad/s | ESS: 101.1/200 | plan:  215.0 ms
t=007.5s | Phase 2: Transport | EE err: 0.110 m | L1 sh:  -2.3 | L1 elbow:  +1.2 N-m | dq sh: -0.42 | dq el: -0.18 rad/s | ESS:  97.3/200 | plan:  197.6 ms
t=008.0s | Phase 2: Transport | EE err: 0.081 m | L1 sh:  -2.3 | L1 elbow:  +1.1 N-m | dq sh: -0.16 | dq el: +0.37 rad/s | ESS:  98.8/200 | plan:  204.9 ms
t=008.5s | Phase 2: Transport | EE err: 0.077 m | L1 sh:  -1.9 | L1 elbow:  +1.1 N-m | dq sh: +0.08 | dq el: +0.76 rad/s | ESS:  56.9/200 | plan:  194.7 ms
t=009.0s | Phase 2: Transport | EE err: 0.091 m | L1 sh:  -1.6 | L1 elbow:  +1.3 N-m | dq sh: -0.07 | dq el: +0.55 rad/s | ESS:  54.7/200 | plan:  209.5 ms
t=009.5s | Phase 2: Transport | EE err: 0.111 m | L1 sh:  -1.5 | L1 elbow:  +1.1 N-m | dq sh: -0.03 | dq el: +0.62 rad/s | ESS:  50.7/200 | plan:  202.7 ms
t=010.0s | Phase 2: Transport | EE err: 0.115 m | L1 sh:  -1.5 | L1 elbow:  +1.1 N-m | dq sh: -0.05 | dq el: +0.61 rad/s | ESS:  80.9/200 | plan:  204.8 ms
t=010.5s | Phase 2: Transport | EE err: 0.121 m | L1 sh:  -1.6 | L1 elbow:  +1.3 N-m | dq sh: -0.04 | dq el: +0.64 rad/s | ESS:  50.4/200 | plan:  210.4 ms
t=011.0s | Phase 2: Transport | EE err: 0.113 m | L1 sh:  -1.5 | L1 elbow:  +1.2 N-m | dq sh: -0.02 | dq el: +0.67 rad/s | ESS:  54.2/200 | plan:  199.0 ms
