[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\franka_v2_200_nominal_L1_off_fric4_20260713_210142.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-13_21-01-42.log[0m
[36m======================================================================================================================[0m

[33m21:01:43 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262466e-01 -7.6293945e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114441e-01 1.7166138e-05 1.5809889e+00]
[INFO] p_lift  (env-local): [0.3030758  0.20731735 1.7333386 ]
[INFO] Viscous friction on env 0: c=4.0
[INFO]: L1 Filter Enabled: False
Num Samples: 200
t=000.5s | Phase 1: Approach  | EE err: 0.372 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: +0.27 | dq el: +0.66 rad/s | ESS:  77.5/200 | plan:  212.9 ms
t=001.0s | Phase 1: Approach  | EE err: 0.354 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: +0.27 | dq el: +0.60 rad/s | ESS:  76.2/200 | plan:  211.7 ms
t=001.5s | Phase 1: Approach  | EE err: 0.340 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: +0.21 | dq el: +0.54 rad/s | ESS:  33.7/200 | plan:  216.3 ms
t=002.0s | Phase 1: Approach  | EE err: 0.324 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: +0.17 | dq el: +0.34 rad/s | ESS:  60.6/200 | plan:  206.3 ms
t=002.5s | Phase 1: Approach  | EE err: 0.307 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: +0.18 | dq el: +0.29 rad/s | ESS:  49.4/200 | plan:  190.1 ms
t=003.0s | Phase 1: Approach  | EE err: 0.288 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: +0.20 | dq el: +0.30 rad/s | ESS:  67.3/200 | plan:  208.8 ms
t=003.5s | Phase 1: Approach  | EE err: 0.269 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: +0.21 | dq el: +0.30 rad/s | ESS:  69.8/200 | plan:  213.1 ms
t=004.0s | Phase 1: Approach  | EE err: 0.251 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: +0.25 | dq el: +0.37 rad/s | ESS:  59.1/200 | plan:  206.7 ms
t=004.5s | Phase 1: Approach  | EE err: 0.234 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: +0.20 | dq el: +0.33 rad/s | ESS:  52.8/200 | plan:  205.5 ms
t=005.0s | Phase 1: Approach  | EE err: 0.217 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: +0.21 | dq el: +0.38 rad/s | ESS:  78.7/200 | plan:  199.8 ms
t=005.5s | Phase 1: Approach  | EE err: 0.205 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: +0.18 | dq el: +0.32 rad/s | ESS:  74.8/200 | plan:  208.4 ms
t=006.0s | Phase 1: Approach  | EE err: 0.191 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: +0.19 | dq el: +0.37 rad/s | ESS:  64.3/200 | plan:  216.7 ms
t=006.5s | Phase 2: Transport | EE err: 0.178 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: +0.03 | dq el: +0.32 rad/s | ESS: 107.8/200 | plan:  201.9 ms
t=007.0s | Phase 2: Transport | EE err: 0.128 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: +0.04 | dq el: +0.40 rad/s | ESS:  61.4/200 | plan:  199.8 ms
t=007.5s | Phase 2: Transport | EE err: 0.087 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.03 | dq el: +0.39 rad/s | ESS:  58.6/200 | plan:  188.8 ms
t=008.0s | Phase 2: Transport | EE err: 0.060 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.05 | dq el: +0.41 rad/s | ESS:  55.1/200 | plan:  229.1 ms
t=008.5s | Phase 2: Transport | EE err: 0.052 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.02 | dq el: +0.43 rad/s | ESS:  48.3/200 | plan:  206.3 ms
t=009.0s | Phase 2: Transport | EE err: 0.049 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.10 | dq el: +0.36 rad/s | ESS:  51.1/200 | plan:  206.6 ms
t=009.5s | Phase 2: Transport | EE err: 0.049 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.08 | dq el: +0.38 rad/s | ESS:  55.5/200 | plan:  209.7 ms
t=010.0s | Phase 2: Transport | EE err: 0.048 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.14 | dq el: +0.33 rad/s | ESS:  74.1/200 | plan:  219.8 ms
t=010.5s | Phase 2: Transport | EE err: 0.048 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.07 | dq el: +0.37 rad/s | ESS:  56.6/200 | plan:  201.1 ms
t=011.0s | Phase 2: Transport | EE err: 0.049 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.09 | dq el: +0.34 rad/s | ESS:  52.3/200 | plan:  209.7 ms
t=011.5s | Phase 2: Transport | EE err: 0.053 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.07 | dq el: +0.36 rad/s | ESS:  52.6/200 | plan:  204.4 ms
t=012.0s | Phase 2: Transport | EE err: 0.053 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.09 | dq el: +0.33 rad/s | ESS:  53.5/200 | plan:  183.5 ms
t=012.5s | Phase 2: Transport | EE err: 0.053 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.10 | dq el: +0.31 rad/s | ESS:  60.5/200 | plan:  190.0 ms
t=013.0s | Phase 2: Transport | EE err: 0.054 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.12 | dq el: +0.25 rad/s | ESS:  34.1/200 | plan:  198.7 ms
t=013.5s | Phase 2: Transport | EE err: 0.053 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.08 | dq el: +0.27 rad/s | ESS:  68.3/200 | plan:  194.3 ms
t=014.0s | Phase 2: Transport | EE err: 0.054 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.14 | dq el: +0.20 rad/s | ESS:  65.5/200 | plan:  209.2 ms
t=014.5s | Phase 2: Transport | EE err: 0.053 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.07 | dq el: +0.27 rad/s | ESS:  67.9/200 | plan:  220.5 ms
t=015.0s | Phase 2: Transport | EE err: 0.054 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.14 | dq el: +0.16 rad/s | ESS:  58.7/200 | plan:  201.4 ms
t=015.5s | Phase 2: Transport | EE err: 0.055 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.05 | dq el: +0.24 rad/s | ESS:  64.2/200 | plan:  204.6 ms
t=016.0s | Phase 2: Transport | EE err: 0.057 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | dq sh: -0.08 | dq el: +0.19 rad/s | ESS:  60.8/200 | plan:  206.3 ms
