[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\franka_v2_200_nominal_L1_on_20260713_163742.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-13_16-37-42.log[0m
[36m======================================================================================================================[0m

[33m16:37:42 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262466e-01 -7.6293945e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114441e-01 1.7166138e-05 1.5809889e+00]
[INFO] p_lift  (env-local): [0.3030758  0.20731735 1.7333386 ]
[INFO]: L1 Filter Enabled: True
Num Samples: 200
t=000.5s | Phase 1: Approach  | EE err: 0.373 m | L1 sh:  +0.2 | L1 elbow:  -0.1 N-m | ESS:  78.3/200 | plan:  204.7 ms
t=001.0s | Phase 1: Approach  | EE err: 0.353 m | L1 sh:  +0.4 | L1 elbow:  +0.1 N-m | ESS:  68.9/200 | plan:  210.2 ms
t=001.5s | Phase 1: Approach  | EE err: 0.338 m | L1 sh:  +0.2 | L1 elbow:  +0.2 N-m | ESS:  75.4/200 | plan:  207.9 ms
t=002.0s | Phase 1: Approach  | EE err: 0.328 m | L1 sh:  -0.1 | L1 elbow:  +0.4 N-m | ESS:  57.6/200 | plan:  220.1 ms
t=002.5s | Phase 1: Approach  | EE err: 0.321 m | L1 sh:  -0.7 | L1 elbow:  +0.5 N-m | ESS:  59.2/200 | plan:  216.9 ms
t=003.0s | Phase 1: Approach  | EE err: 0.314 m | L1 sh:  -1.0 | L1 elbow:  +0.8 N-m | ESS:  67.9/200 | plan:  199.3 ms
t=003.5s | Phase 1: Approach  | EE err: 0.303 m | L1 sh:  -1.7 | L1 elbow:  +1.1 N-m | ESS:  56.0/200 | plan:  214.5 ms
t=004.0s | Phase 1: Approach  | EE err: 0.282 m | L1 sh:  -1.9 | L1 elbow:  +1.2 N-m | ESS:  54.3/200 | plan:  185.9 ms
t=004.5s | Phase 1: Approach  | EE err: 0.255 m | L1 sh:  -2.1 | L1 elbow:  +1.6 N-m | ESS:  83.5/200 | plan:  193.4 ms
t=005.0s | Phase 1: Approach  | EE err: 0.231 m | L1 sh:  -2.1 | L1 elbow:  +1.8 N-m | ESS:  31.4/200 | plan:  186.8 ms
t=005.5s | Phase 1: Approach  | EE err: 0.210 m | L1 sh:  -2.2 | L1 elbow:  +1.9 N-m | ESS:  62.7/200 | plan:  197.6 ms
t=006.0s | Phase 1: Approach  | EE err: 0.186 m | L1 sh:  -2.3 | L1 elbow:  +1.9 N-m | ESS:  52.3/200 | plan:  217.0 ms
t=006.5s | Phase 2: Transport | EE err: 0.178 m | L1 sh:  -2.4 | L1 elbow:  +2.1 N-m | ESS:  77.0/200 | plan:  212.1 ms
t=007.0s | Phase 2: Transport | EE err: 0.115 m | L1 sh:  -2.8 | L1 elbow:  +1.9 N-m | ESS:  49.8/200 | plan:  183.4 ms
t=007.5s | Phase 2: Transport | EE err: 0.074 m | L1 sh:  -3.0 | L1 elbow:  +1.9 N-m | ESS:  44.1/200 | plan:  189.3 ms
t=008.0s | Phase 2: Transport | EE err: 0.048 m | L1 sh:  -3.0 | L1 elbow:  +1.9 N-m | ESS:  48.7/200 | plan:  205.0 ms
t=008.5s | Phase 2: Transport | EE err: 0.030 m | L1 sh:  -3.0 | L1 elbow:  +1.9 N-m | ESS:  48.2/200 | plan:  194.7 ms
t=009.0s | Phase 2: Transport | EE err: 0.025 m | L1 sh:  -2.8 | L1 elbow:  +1.9 N-m | ESS:  32.3/200 | plan:  203.7 ms
t=009.5s | Phase 2: Transport | EE err: 0.027 m | L1 sh:  -2.7 | L1 elbow:  +1.8 N-m | ESS:  54.3/200 | plan:  210.4 ms
t=010.0s | Phase 2: Transport | EE err: 0.034 m | L1 sh:  -2.8 | L1 elbow:  +1.8 N-m | ESS:  64.4/200 | plan:  210.0 ms
t=010.5s | Phase 2: Transport | EE err: 0.040 m | L1 sh:  -2.5 | L1 elbow:  +1.7 N-m | ESS:  98.2/200 | plan:  188.7 ms
t=011.0s | Phase 2: Transport | EE err: 0.040 m | L1 sh:  -2.4 | L1 elbow:  +1.7 N-m | ESS: 129.8/200 | plan:  196.9 ms
t=011.5s | Phase 2: Transport | EE err: 0.040 m | L1 sh:  -2.4 | L1 elbow:  +1.6 N-m | ESS: 134.4/200 | plan:  194.0 ms
t=012.0s | Phase 2: Transport | EE err: 0.039 m | L1 sh:  -2.3 | L1 elbow:  +1.6 N-m | ESS: 136.1/200 | plan:  213.4 ms
t=012.5s | Phase 2: Transport | EE err: 0.041 m | L1 sh:  -2.3 | L1 elbow:  +1.6 N-m | ESS: 129.3/200 | plan:  217.0 ms
t=013.0s | Phase 2: Transport | EE err: 0.038 m | L1 sh:  -2.2 | L1 elbow:  +1.5 N-m | ESS: 137.4/200 | plan:  206.0 ms
t=013.5s | Phase 2: Transport | EE err: 0.038 m | L1 sh:  -2.2 | L1 elbow:  +1.5 N-m | ESS: 140.2/200 | plan:  207.7 ms
t=014.0s | Phase 2: Transport | EE err: 0.040 m | L1 sh:  -2.1 | L1 elbow:  +1.5 N-m | ESS: 141.2/200 | plan:  195.3 ms
t=014.5s | Phase 2: Transport | EE err: 0.044 m | L1 sh:  -2.2 | L1 elbow:  +1.5 N-m | ESS: 132.4/200 | plan:  189.2 ms
t=015.0s | Phase 2: Transport | EE err: 0.045 m | L1 sh:  -2.1 | L1 elbow:  +1.5 N-m | ESS: 142.9/200 | plan:  186.4 ms
t=015.5s | Phase 2: Transport | EE err: 0.047 m | L1 sh:  -2.1 | L1 elbow:  +1.4 N-m | ESS: 145.8/200 | plan:  215.6 ms
t=016.0s | Phase 2: Transport | EE err: 0.051 m | L1 sh:  -2.1 | L1 elbow:  +1.4 N-m | ESS: 149.1/200 | plan:  202.0 ms
