[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\franka_v2_200_nominal_L1_on_20260716_151513.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-16_15-15-13.log[0m
[36m======================================================================================================================[0m

[33m15:15:13 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262466e-01 -7.6293945e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114441e-01 1.7166138e-05 1.5809889e+00]
[INFO] p_lift  (env-local): [0.3030758  0.20731735 1.7333386 ]
[INFO] Viscous friction on env 0: c=0.0
[INFO]: L1 Filter Enabled: True
Num Samples: 200
t=000.5s | Phase 1: Approach  | EE err: 0.371 m | L1 sh:  +0.3 | L1 elbow:  -0.2 N-m | dq sh: -0.08 | dq el: -0.32 rad/s | ESS:  54.8/200 | plan:  207.2 ms
t=001.0s | Phase 1: Approach  | EE err: 0.352 m | L1 sh:  +0.3 | L1 elbow:  -0.1 N-m | dq sh: -0.08 | dq el: -0.30 rad/s | ESS:  58.8/200 | plan:  206.2 ms
t=001.5s | Phase 1: Approach  | EE err: 0.338 m | L1 sh:  +0.3 | L1 elbow:  -0.0 N-m | dq sh: -0.16 | dq el: -0.44 rad/s | ESS:  45.5/200 | plan:  202.4 ms
t=002.0s | Phase 1: Approach  | EE err: 0.329 m | L1 sh:  +0.0 | L1 elbow:  +0.1 N-m | dq sh: -0.17 | dq el: -0.44 rad/s | ESS:  67.5/200 | plan:  202.2 ms
t=002.5s | Phase 1: Approach  | EE err: 0.321 m | L1 sh:  -0.2 | L1 elbow:  +0.3 N-m | dq sh: -0.18 | dq el: -0.47 rad/s | ESS:  34.3/200 | plan:  203.2 ms
t=003.0s | Phase 1: Approach  | EE err: 0.312 m | L1 sh:  -0.8 | L1 elbow:  +0.5 N-m | dq sh: -0.09 | dq el: -0.45 rad/s | ESS:  33.4/200 | plan:  201.2 ms
t=003.5s | Phase 1: Approach  | EE err: 0.292 m | L1 sh:  -1.7 | L1 elbow:  +1.1 N-m | dq sh: -0.09 | dq el: -0.46 rad/s | ESS:  60.7/200 | plan:  190.5 ms
t=004.0s | Phase 1: Approach  | EE err: 0.273 m | L1 sh:  -2.0 | L1 elbow:  +1.3 N-m | dq sh: -0.04 | dq el: -0.36 rad/s | ESS:  28.6/200 | plan:  184.6 ms
t=004.5s | Phase 1: Approach  | EE err: 0.253 m | L1 sh:  -2.1 | L1 elbow:  +1.6 N-m | dq sh: -0.12 | dq el: -0.44 rad/s | ESS:  43.7/200 | plan:  190.0 ms
t=005.0s | Phase 1: Approach  | EE err: 0.237 m | L1 sh:  -2.3 | L1 elbow:  +1.6 N-m | dq sh: -0.13 | dq el: -0.43 rad/s | ESS:  48.8/200 | plan:  205.1 ms
t=005.5s | Phase 1: Approach  | EE err: 0.221 m | L1 sh:  -2.3 | L1 elbow:  +1.7 N-m | dq sh: -0.10 | dq el: -0.41 rad/s | ESS:  44.3/200 | plan:  194.7 ms
