[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\franka_v2_200_unknown_L1_on_20260712_153802.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-12_15-38-02.log[0m
[36m======================================================================================================================[0m

[33m15:38:02 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262466e-01 -7.6293945e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114441e-01 1.7166138e-05 1.5809889e+00]
[INFO] p_lift  (env-local): [0.3030758  0.20731735 1.7333386 ]
[INFO]: L1 Filter Enabled: True
Num Samples: 200
t=000.5s | Phase 1: Approach  | EE err: 0.371 m | L1 sh:  +0.1 | L1 elbow:  -0.2 N-m | ESS:  75.7/200 | plan:  212.6 ms
t=001.0s | Phase 1: Approach  | EE err: 0.346 m | L1 sh:  +0.4 | L1 elbow:  -0.0 N-m | ESS: 113.9/200 | plan:  194.5 ms
t=001.5s | Phase 1: Approach  | EE err: 0.328 m | L1 sh:  +0.2 | L1 elbow:  +0.1 N-m | ESS:  42.4/200 | plan:  203.1 ms
t=002.0s | Phase 1: Approach  | EE err: 0.300 m | L1 sh:  -0.9 | L1 elbow:  +0.6 N-m | ESS:  44.9/200 | plan:  194.3 ms
t=002.5s | Phase 1: Approach  | EE err: 0.275 m | L1 sh:  -1.7 | L1 elbow:  +1.4 N-m | ESS:  51.0/200 | plan:  202.9 ms
t=003.0s | Phase 1: Approach  | EE err: 0.251 m | L1 sh:  -1.9 | L1 elbow:  +1.5 N-m | ESS:  61.8/200 | plan:  195.0 ms
t=003.5s | Phase 1: Approach  | EE err: 0.224 m | L1 sh:  -2.1 | L1 elbow:  +1.6 N-m | ESS:  64.2/200 | plan:  195.8 ms
t=004.0s | Phase 1: Approach  | EE err: 0.197 m | L1 sh:  -2.1 | L1 elbow:  +1.8 N-m | ESS:  68.9/200 | plan:  195.1 ms
t=004.5s | Phase 1: Approach  | EE err: 0.172 m | L1 sh:  -2.1 | L1 elbow:  +1.9 N-m | ESS:  75.1/200 | plan:  199.1 ms
t=005.0s | Phase 1: Approach  | EE err: 0.151 m | L1 sh:  -1.9 | L1 elbow:  +1.8 N-m | ESS:  17.0/200 | plan:  188.0 ms
t=005.5s | Phase 1: Approach  | EE err: 0.133 m | L1 sh:  -1.9 | L1 elbow:  +1.8 N-m | ESS:  63.6/200 | plan:  200.3 ms
