[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\franka_v2_20_unknown_L1_on_20260712_161044.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-12_16-10-44.log[0m
[36m======================================================================================================================[0m

[33m16:10:44 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262657e-01 -7.3909760e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114679e-01 1.5258789e-05 1.5809889e+00]
[INFO] p_lift  (env-local): [0.30307388 0.20731688 1.7333386 ]
[INFO]: L1 Filter Enabled: True
Num Samples: 20
t=000.5s | Phase 1: Approach  | EE err: 0.376 m | L1 sh:  +0.2 | L1 elbow:  -0.2 N-m | ESS:   7.5/20 | plan:  209.1 ms
t=001.0s | Phase 1: Approach  | EE err: 0.359 m | L1 sh:  +0.3 | L1 elbow:  -0.3 N-m | ESS:   8.5/20 | plan:  182.4 ms
t=001.5s | Phase 1: Approach  | EE err: 0.346 m | L1 sh:  +0.2 | L1 elbow:  -0.1 N-m | ESS:  13.2/20 | plan:  206.4 ms
t=002.0s | Phase 1: Approach  | EE err: 0.332 m | L1 sh:  +0.1 | L1 elbow:  -0.1 N-m | ESS:   7.2/20 | plan:  208.5 ms
t=002.5s | Phase 1: Approach  | EE err: 0.322 m | L1 sh:  -0.0 | L1 elbow:  +0.2 N-m | ESS:   6.9/20 | plan:  172.5 ms
t=003.0s | Phase 1: Approach  | EE err: 0.302 m | L1 sh:  -1.0 | L1 elbow:  +0.8 N-m | ESS:   6.7/20 | plan:  177.8 ms
t=003.5s | Phase 1: Approach  | EE err: 0.284 m | L1 sh:  -1.7 | L1 elbow:  +1.4 N-m | ESS:   5.9/20 | plan:  168.5 ms
t=004.0s | Phase 1: Approach  | EE err: 0.266 m | L1 sh:  -2.2 | L1 elbow:  +1.4 N-m | ESS:  10.9/20 | plan:  166.2 ms
t=004.5s | Phase 1: Approach  | EE err: 0.246 m | L1 sh:  -2.1 | L1 elbow:  +1.7 N-m | ESS:   6.8/20 | plan:  185.9 ms
t=005.0s | Phase 1: Approach  | EE err: 0.229 m | L1 sh:  -2.2 | L1 elbow:  +1.7 N-m | ESS:   9.7/20 | plan:  167.6 ms
t=005.5s | Phase 1: Approach  | EE err: 0.211 m | L1 sh:  -2.4 | L1 elbow:  +1.6 N-m | ESS:  12.2/20 | plan:  181.8 ms
t=006.0s | Phase 1: Approach  | EE err: 0.194 m | L1 sh:  -2.6 | L1 elbow:  +1.8 N-m | ESS:   7.5/20 | plan:  204.3 ms
[CHECK] env0 hand mass now: 2.180 kg
[EVENT] t=6.01s GRASP: +1.5 kg on env 0  [WARN: grasped while 0.20 m from target]
t=006.5s | Phase 2: Transport | EE err: 0.234 m | L1 sh:  -7.4 | L1 elbow:  +7.7 N-m | ESS:   7.5/20 | plan:  186.0 ms
t=007.0s | Phase 2: Transport | EE err: 0.190 m | L1 sh:  -8.1 | L1 elbow:  +8.1 N-m | ESS:  10.8/20 | plan:  188.2 ms
t=007.5s | Phase 2: Transport | EE err: 0.131 m | L1 sh:  -6.8 | L1 elbow:  +7.0 N-m | ESS:  10.4/20 | plan:  203.3 ms
t=008.0s | Phase 2: Transport | EE err: 0.088 m | L1 sh:  -6.2 | L1 elbow:  +6.6 N-m | ESS:  12.2/20 | plan:  184.8 ms
t=008.5s | Phase 2: Transport | EE err: 0.089 m | L1 sh:  -4.7 | L1 elbow:  +6.4 N-m | ESS:  10.7/20 | plan:  174.9 ms
t=009.0s | Phase 2: Transport | EE err: 0.117 m | L1 sh:  -4.3 | L1 elbow:  +5.7 N-m | ESS:  11.7/20 | plan:  206.8 ms
t=009.5s | Phase 2: Transport | EE err: 0.137 m | L1 sh:  -3.3 | L1 elbow:  +5.1 N-m | ESS:   7.0/20 | plan:  209.3 ms
t=010.0s | Phase 2: Transport | EE err: 0.125 m | L1 sh:  -3.5 | L1 elbow:  +5.2 N-m | ESS:   7.5/20 | plan:  197.0 ms
t=010.5s | Phase 2: Transport | EE err: 0.125 m | L1 sh:  -3.9 | L1 elbow:  +5.4 N-m | ESS:   6.5/20 | plan:  187.1 ms
t=011.0s | Phase 2: Transport | EE err: 0.131 m | L1 sh:  -4.2 | L1 elbow:  +5.1 N-m | ESS:   9.1/20 | plan:  181.7 ms
t=011.5s | Phase 2: Transport | EE err: 0.134 m | L1 sh:  -3.9 | L1 elbow:  +5.4 N-m | ESS:   7.7/20 | plan:  191.2 ms
