[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\franka_v2_32_nominal_L1_on_20260713_205639.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-13_20-56-39.log[0m
[36m======================================================================================================================[0m

[33m20:56:39 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262848e-01 -7.3909760e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114536e-01 1.5258789e-05 1.5809889e+00]
[INFO] p_lift  (env-local): [0.30307293 0.20731688 1.7333386 ]
[INFO] Viscous friction on env 0: c=0.0
[INFO]: L1 Filter Enabled: True
Num Samples: 32
t=000.5s | Phase 1: Approach  | EE err: 0.372 m | L1 sh:  +0.3 | L1 elbow:  -0.2 N-m | dq sh: +0.26 | dq el: +0.63 rad/s | ESS:  10.7/32 | plan:  208.5 ms
t=001.0s | Phase 1: Approach  | EE err: 0.350 m | L1 sh:  +0.3 | L1 elbow:  -0.0 N-m | dq sh: +0.31 | dq el: +0.70 rad/s | ESS:  16.7/32 | plan:  200.9 ms
t=001.5s | Phase 1: Approach  | EE err: 0.332 m | L1 sh:  +0.2 | L1 elbow:  +0.0 N-m | dq sh: +0.26 | dq el: +0.65 rad/s | ESS:  14.9/32 | plan:  216.4 ms
t=002.0s | Phase 1: Approach  | EE err: 0.305 m | L1 sh:  -0.4 | L1 elbow:  +0.2 N-m | dq sh: +0.51 | dq el: +0.76 rad/s | ESS:  13.9/32 | plan:  184.6 ms
t=002.5s | Phase 1: Approach  | EE err: 0.283 m | L1 sh:  -1.7 | L1 elbow:  +1.3 N-m | dq sh: +0.32 | dq el: +0.69 rad/s | ESS:   9.6/32 | plan:  188.7 ms
t=003.0s | Phase 1: Approach  | EE err: 0.263 m | L1 sh:  -2.1 | L1 elbow:  +1.3 N-m | dq sh: +0.38 | dq el: +0.82 rad/s | ESS:  13.9/32 | plan:  228.7 ms
t=003.5s | Phase 1: Approach  | EE err: 0.240 m | L1 sh:  -2.1 | L1 elbow:  +1.6 N-m | dq sh: +0.31 | dq el: +0.79 rad/s | ESS:  10.7/32 | plan:  200.2 ms
t=004.0s | Phase 1: Approach  | EE err: 0.212 m | L1 sh:  -2.3 | L1 elbow:  +1.7 N-m | dq sh: +0.41 | dq el: +0.92 rad/s | ESS:  10.8/32 | plan:  200.3 ms
t=004.5s | Phase 1: Approach  | EE err: 0.188 m | L1 sh:  -2.1 | L1 elbow:  +1.9 N-m | dq sh: +0.32 | dq el: +0.85 rad/s | ESS:  15.1/32 | plan:  199.5 ms
t=005.0s | Phase 1: Approach  | EE err: 0.163 m | L1 sh:  -2.3 | L1 elbow:  +1.9 N-m | dq sh: +0.33 | dq el: +0.85 rad/s | ESS:  10.4/32 | plan:  189.5 ms
t=005.5s | Phase 1: Approach  | EE err: 0.144 m | L1 sh:  -1.9 | L1 elbow:  +1.8 N-m | dq sh: +0.35 | dq el: +0.82 rad/s | ESS:  15.9/32 | plan:  203.4 ms
t=006.0s | Phase 1: Approach  | EE err: 0.131 m | L1 sh:  -1.8 | L1 elbow:  +1.9 N-m | dq sh: +0.39 | dq el: +0.99 rad/s | ESS:  15.2/32 | plan:  218.4 ms
t=006.5s | Phase 2: Transport | EE err: 0.292 m | L1 sh:  -2.0 | L1 elbow:  +2.0 N-m | dq sh: +0.21 | dq el: +0.82 rad/s | ESS:  12.7/32 | plan:  191.5 ms
t=007.0s | Phase 2: Transport | EE err: 0.261 m | L1 sh:  -2.2 | L1 elbow:  +1.9 N-m | dq sh: +0.16 | dq el: +0.68 rad/s | ESS:   8.4/32 | plan:  210.7 ms
t=007.5s | Phase 2: Transport | EE err: 0.228 m | L1 sh:  -2.4 | L1 elbow:  +2.3 N-m | dq sh: +0.20 | dq el: +0.63 rad/s | ESS:  12.6/32 | plan:  203.1 ms
t=008.0s | Phase 2: Transport | EE err: 0.193 m | L1 sh:  -2.4 | L1 elbow:  +2.4 N-m | dq sh: +0.21 | dq el: +0.60 rad/s | ESS:  12.5/32 | plan:  210.6 ms
t=008.5s | Phase 2: Transport | EE err: 0.163 m | L1 sh:  -2.8 | L1 elbow:  +2.5 N-m | dq sh: +0.22 | dq el: +0.55 rad/s | ESS:  16.2/32 | plan:  196.9 ms
t=009.0s | Phase 2: Transport | EE err: 0.138 m | L1 sh:  -3.1 | L1 elbow:  +2.5 N-m | dq sh: +0.21 | dq el: +0.52 rad/s | ESS:  15.6/32 | plan:  208.1 ms
