[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\v2_K200_known_L1_on_20260710_012316.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-10_01-23-16.log[0m
[36m======================================================================================================================[0m

[33m01:23:16 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262466e-01 -7.6293945e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114441e-01 1.7166138e-05 1.5809889e+00]
[INFO] p_lift  (env-local): [0.3030758  0.20731735 1.7333386 ]
[INFO]: L1 Filter Enabled: True
Num Samples: 200
t=000.5s | Phase 1: Approach  | EE err: 0.372 m | L1 sh:  +0.3 | L1 elbow:  -0.5 N-m | ESS:  72.8/200 | plan:  190.8 ms
t=001.0s | Phase 1: Approach  | EE err: 0.353 m | L1 sh:  +0.4 | L1 elbow:  -0.4 N-m | ESS:  73.9/200 | plan:  195.9 ms
t=001.5s | Phase 1: Approach  | EE err: 0.338 m | L1 sh:  +0.4 | L1 elbow:  -0.1 N-m | ESS:  53.0/200 | plan:  198.3 ms
t=002.0s | Phase 1: Approach  | EE err: 0.324 m | L1 sh:  +0.1 | L1 elbow:  -0.0 N-m | ESS:  53.4/200 | plan:  210.9 ms
t=002.5s | Phase 1: Approach  | EE err: 0.314 m | L1 sh:  -0.8 | L1 elbow:  +0.5 N-m | ESS:  18.0/200 | plan:  202.5 ms
t=003.0s | Phase 1: Approach  | EE err: 0.307 m | L1 sh:  -0.9 | L1 elbow:  +0.6 N-m | ESS:  54.0/200 | plan:  193.8 ms
t=003.5s | Phase 1: Approach  | EE err: 0.295 m | L1 sh:  -1.0 | L1 elbow:  +0.7 N-m | ESS:  29.4/200 | plan:  190.8 ms
t=004.0s | Phase 1: Approach  | EE err: 0.283 m | L1 sh:  -1.2 | L1 elbow:  +0.7 N-m | ESS:  43.3/200 | plan:  200.0 ms
t=004.5s | Phase 1: Approach  | EE err: 0.271 m | L1 sh:  -1.2 | L1 elbow:  +0.8 N-m | ESS:  46.3/200 | plan:  222.4 ms
t=005.0s | Phase 1: Approach  | EE err: 0.253 m | L1 sh:  -1.3 | L1 elbow:  +0.7 N-m | ESS:   9.7/200 | plan:  193.7 ms
t=005.5s | Phase 1: Approach  | EE err: 0.238 m | L1 sh:  -1.1 | L1 elbow:  +0.8 N-m | ESS:  19.3/200 | plan:  177.6 ms
t=006.0s | Phase 1: Approach  | EE err: 0.229 m | L1 sh:  -0.9 | L1 elbow:  +0.6 N-m | ESS:  53.5/200 | plan:  196.2 ms
[CHECK] env0 hand mass now: 2.180 kg
[EVENT] t=6.01s GRASP: +1.5 kg on ALL envs  [WARN: grasped while 0.23 m from target]
t=006.5s | Phase 2: Transport | EE err: 0.219 m | L1 sh:  -1.2 | L1 elbow:  +1.3 N-m | ESS:  92.8/200 | plan:  195.4 ms
t=007.0s | Phase 2: Transport | EE err: 0.184 m | L1 sh:  -1.6 | L1 elbow:  +1.0 N-m | ESS:  87.0/200 | plan:  193.1 ms
t=007.5s | Phase 2: Transport | EE err: 0.163 m | L1 sh:  -1.7 | L1 elbow:  +0.7 N-m | ESS:  48.3/200 | plan:  199.1 ms
t=008.0s | Phase 2: Transport | EE err: 0.129 m | L1 sh:  -1.7 | L1 elbow:  +0.7 N-m | ESS:  95.9/200 | plan:  199.8 ms
t=008.5s | Phase 2: Transport | EE err: 0.095 m | L1 sh:  -1.3 | L1 elbow:  +0.6 N-m | ESS:  97.2/200 | plan:  202.3 ms
t=009.0s | Phase 2: Transport | EE err: 0.095 m | L1 sh:  -1.2 | L1 elbow:  +0.7 N-m | ESS:  84.1/200 | plan:  201.2 ms
t=009.5s | Phase 2: Transport | EE err: 0.094 m | L1 sh:  -1.3 | L1 elbow:  +0.8 N-m | ESS:  53.7/200 | plan:  202.3 ms
t=010.0s | Phase 2: Transport | EE err: 0.094 m | L1 sh:  -1.2 | L1 elbow:  +0.8 N-m | ESS:  85.0/200 | plan:  180.3 ms
t=010.5s | Phase 2: Transport | EE err: 0.086 m | L1 sh:  -1.3 | L1 elbow:  +0.9 N-m | ESS: 101.6/200 | plan:  191.1 ms
t=011.0s | Phase 2: Transport | EE err: 0.085 m | L1 sh:  -1.2 | L1 elbow:  +0.9 N-m | ESS:  89.9/200 | plan:  201.9 ms
t=011.5s | Phase 2: Transport | EE err: 0.082 m | L1 sh:  -1.2 | L1 elbow:  +0.8 N-m | ESS:  64.0/200 | plan:  186.4 ms
t=012.0s | Phase 2: Transport | EE err: 0.069 m | L1 sh:  -1.3 | L1 elbow:  +1.0 N-m | ESS:  43.1/200 | plan:  194.9 ms
t=012.5s | Phase 2: Transport | EE err: 0.067 m | L1 sh:  -0.8 | L1 elbow:  +0.9 N-m | ESS:  40.1/200 | plan:  204.0 ms
t=013.0s | Phase 2: Transport | EE err: 0.062 m | L1 sh:  -0.6 | L1 elbow:  +0.7 N-m | ESS:  63.8/200 | plan:  201.8 ms
t=013.5s | Phase 2: Transport | EE err: 0.068 m | L1 sh:  -0.2 | L1 elbow:  +0.6 N-m | ESS:  30.2/200 | plan:  198.1 ms
t=014.0s | Phase 2: Transport | EE err: 0.067 m | L1 sh:  -0.4 | L1 elbow:  +0.4 N-m | ESS:  48.6/200 | plan:  198.3 ms
t=014.5s | Phase 2: Transport | EE err: 0.050 m | L1 sh:  -0.0 | L1 elbow:  +0.3 N-m | ESS:  53.4/200 | plan:  189.2 ms
t=015.0s | Phase 2: Transport | EE err: 0.049 m | L1 sh:  +0.0 | L1 elbow:  +0.1 N-m | ESS:  61.5/200 | plan:  194.8 ms
t=015.5s | Phase 2: Transport | EE err: 0.060 m | L1 sh:  +0.7 | L1 elbow:  -0.1 N-m | ESS:  51.6/200 | plan:  191.0 ms
