[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\v2_K200_unknown_L1_off_20260710_012021.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-10_01-20-21.log[0m
[36m======================================================================================================================[0m

[33m01:20:21 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262466e-01 -7.6293945e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114441e-01 1.7166138e-05 1.5809889e+00]
[INFO] p_lift  (env-local): [0.3030758  0.20731735 1.7333386 ]
[INFO]: L1 Filter Enabled: False
Num Samples: 200
t=000.5s | Phase 1: Approach  | EE err: 0.372 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  80.9/200 | plan:  186.1 ms
t=001.0s | Phase 1: Approach  | EE err: 0.352 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  52.2/200 | plan:  185.6 ms
t=001.5s | Phase 1: Approach  | EE err: 0.336 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  68.4/200 | plan:  177.3 ms
t=002.0s | Phase 1: Approach  | EE err: 0.328 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  38.6/200 | plan:  188.3 ms
t=002.5s | Phase 1: Approach  | EE err: 0.321 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  58.1/200 | plan:  186.9 ms
t=003.0s | Phase 1: Approach  | EE err: 0.308 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  63.4/200 | plan:  187.6 ms
t=003.5s | Phase 1: Approach  | EE err: 0.290 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  65.6/200 | plan:  186.6 ms
t=004.0s | Phase 1: Approach  | EE err: 0.268 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  44.3/200 | plan:  197.5 ms
t=004.5s | Phase 1: Approach  | EE err: 0.249 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS: 101.4/200 | plan:  198.7 ms
t=005.0s | Phase 1: Approach  | EE err: 0.236 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  78.8/200 | plan:  190.3 ms
t=005.5s | Phase 1: Approach  | EE err: 0.223 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  93.0/200 | plan:  195.0 ms
t=006.0s | Phase 1: Approach  | EE err: 0.211 m | L1 sh:  +0.0 | L1 elbow:  +0.0 N-m | ESS:  86.6/200 | plan:  193.0 ms
[CHECK] env0 hand mass now: 2.180 kg
