[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\v2_K200_unknown_L1_on_20260712_145438.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-12_14-54-38.log[0m
[36m======================================================================================================================[0m

[33m14:54:38 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262466e-01 -7.6293945e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114441e-01 1.7166138e-05 1.5809889e+00]
[INFO] p_lift  (env-local): [0.3030758  0.20731735 1.7333386 ]
[INFO]: L1 Filter Enabled: True
Num Samples: 200
t=000.5s | Phase 1: Approach  | EE err: 0.376 m | L1 sh:  +0.1 | L1 elbow:  -0.4 N-m | ESS:  16.6/200 | plan:  221.3 ms
t=001.0s | Phase 1: Approach  | EE err: 0.413 m | L1 sh:  -0.8 | L1 elbow:  +0.7 N-m | ESS:  20.2/200 | plan:  215.0 ms
t=001.5s | Phase 1: Approach  | EE err: 0.467 m | L1 sh:  -1.8 | L1 elbow:  +1.5 N-m | ESS:  18.5/200 | plan:  205.1 ms
t=002.0s | Phase 1: Approach  | EE err: 0.525 m | L1 sh:  -1.4 | L1 elbow:  +1.7 N-m | ESS:   6.5/200 | plan:  189.0 ms
t=002.5s | Phase 1: Approach  | EE err: 0.604 m | L1 sh:  -0.7 | L1 elbow:  +0.7 N-m | ESS:   2.0/200 | plan:  202.6 ms
t=003.0s | Phase 1: Approach  | EE err: 0.899 m | L1 sh:  +0.2 | L1 elbow:  +7.8 N-m | ESS:   3.6/200 | plan:  197.4 ms
t=003.5s | Phase 1: Approach  | EE err: 1.120 m | L1 sh:  +9.6 | L1 elbow: +13.4 N-m | ESS:  69.5/200 | plan:  185.6 ms
t=004.0s | Phase 1: Approach  | EE err: 1.088 m | L1 sh: +25.0 | L1 elbow: +11.5 N-m | ESS:  80.4/200 | plan:  198.5 ms
t=004.5s | Phase 1: Approach  | EE err: 0.993 m | L1 sh: +25.0 | L1 elbow:  +3.2 N-m | ESS:  88.0/200 | plan:  203.1 ms
t=005.0s | Phase 1: Approach  | EE err: 0.743 m | L1 sh: +25.0 | L1 elbow:  +0.5 N-m | ESS:  95.2/200 | plan:  197.7 ms
t=005.5s | Phase 1: Approach  | EE err: 0.338 m | L1 sh: +25.0 | L1 elbow:  -1.8 N-m | ESS:  49.6/200 | plan:  209.2 ms
t=006.0s | Phase 1: Approach  | EE err: 0.471 m | L1 sh: +25.0 | L1 elbow:  +1.2 N-m | ESS:  63.8/200 | plan:  229.6 ms
[CHECK] env0 hand mass now: 2.180 kg
[EVENT] t=6.01s GRASP: +1.5 kg on env 0  [WARN: grasped while 0.47 m from target]
t=006.5s | Phase 2: Transport | EE err: 0.673 m | L1 sh: +25.0 | L1 elbow:  +6.7 N-m | ESS:  50.6/200 | plan:  209.9 ms
t=007.0s | Phase 2: Transport | EE err: 0.542 m | L1 sh: +17.2 | L1 elbow:  +8.7 N-m | ESS:  87.9/200 | plan:  207.1 ms
t=007.5s | Phase 2: Transport | EE err: 0.481 m | L1 sh: +17.8 | L1 elbow:  +9.3 N-m | ESS:  94.8/200 | plan:  211.9 ms
t=008.0s | Phase 2: Transport | EE err: 0.467 m | L1 sh: +21.9 | L1 elbow:  +9.4 N-m | ESS:  90.2/200 | plan:  207.5 ms
t=008.5s | Phase 2: Transport | EE err: 0.484 m | L1 sh: +25.0 | L1 elbow:  +9.4 N-m | ESS:  23.4/200 | plan:  209.9 ms
t=009.0s | Phase 2: Transport | EE err: 0.502 m | L1 sh: +25.0 | L1 elbow:  +9.8 N-m | ESS:  11.1/200 | plan:  210.4 ms
t=009.5s | Phase 2: Transport | EE err: 0.517 m | L1 sh: +25.0 | L1 elbow: +10.5 N-m | ESS:  49.7/200 | plan:  232.8 ms
