[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\v2_execution_20260709_200608.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-09_20-06-08.log[0m
[36m======================================================================================================================[0m

[33m20:06:08 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262848e-01 -7.3909760e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114536e-01 1.5258789e-05 1.5809889e+00]
[INFO]: L1 Filter Enabled: True
t=000.5s | Phase 1: Nominal Reach  | EE err: 0.372 m | L1 sh:  +0.1 | L1 elbow:  -0.3 N-m | ESS:  18.8/32 | plan:  192.9 ms
t=001.0s | Phase 1: Nominal Reach  | EE err: 0.351 m | L1 sh:  +0.4 | L1 elbow:  -0.1 N-m | ESS:  17.3/32 | plan:  187.1 ms
t=001.5s | Phase 1: Nominal Reach  | EE err: 0.338 m | L1 sh:  +0.4 | L1 elbow:  +0.0 N-m | ESS:   8.6/32 | plan:  187.8 ms
t=002.0s | Phase 1: Nominal Reach  | EE err: 0.326 m | L1 sh:  -0.1 | L1 elbow:  -0.0 N-m | ESS:  11.4/32 | plan:  201.6 ms
t=002.5s | Phase 1: Nominal Reach  | EE err: 0.321 m | L1 sh:  -0.1 | L1 elbow:  +0.3 N-m | ESS:   9.7/32 | plan:  199.0 ms
t=003.0s | Phase 1: Nominal Reach  | EE err: 0.313 m | L1 sh:  -0.5 | L1 elbow:  +0.6 N-m | ESS:   9.4/32 | plan:  210.6 ms
t=003.5s | Phase 1: Nominal Reach  | EE err: 0.298 m | L1 sh:  -1.7 | L1 elbow:  +0.7 N-m | ESS:  15.6/32 | plan:  197.1 ms
t=004.0s | Phase 1: Nominal Reach  | EE err: 0.277 m | L1 sh:  -1.9 | L1 elbow:  +1.4 N-m | ESS:  16.5/32 | plan:  181.9 ms
t=004.5s | Phase 2: SABOTAGE       | EE err: 0.317 m | L1 sh: +15.2 | L1 elbow: +14.1 N-m | ESS:  12.7/32 | plan:  188.3 ms
t=005.0s | Phase 2: SABOTAGE       | EE err: 0.302 m | L1 sh: +18.0 | L1 elbow: +15.8 N-m | ESS:  12.7/32 | plan:  200.2 ms
t=005.5s | Phase 2: SABOTAGE       | EE err: 0.283 m | L1 sh: +18.0 | L1 elbow: +16.6 N-m | ESS:  18.4/32 | plan:  195.1 ms
