[INFO] Self-contained logging activated.
[INFO] Writing all stdout/stderr channels to: ./logs\v2_execution_20260709_201626.log
------------------------------------------------------------

[36m======================================================================================================================[0m
[36m[1m[INFO][IsaacLab]: Logging to file: C:\Users\JERRYH~1\AppData\Local\Temp\isaaclab\logs\isaaclab_2026-07-09_20-16-26.log[0m
[36m======================================================================================================================[0m

[33m20:16:26 [simulation_context.py] WARNING: The `enable_external_forces_every_iteration` parameter in the PhysxCfg is set to False. If you are experiencing noisy velocities, consider enabling this flag. You may need to slightly increase the number of velocity iterations (setting it to 1 or 2 rather than 0), together with this flag, to improve the accuracy of velocity updates.[0m
[INFO] p_reach (env-local): [ 5.9262848e-01 -7.3909760e-05  1.7734389e+00]
[INFO] p_home  (env-local): [2.5114536e-01 1.5258789e-05 1.5809889e+00]
[INFO]: L1 Filter Enabled: True
t=000.5s | Phase 1: Nominal Reach  | EE err: 0.378 m | L1 sh:  +0.2 | L1 elbow:  -0.2 N-m | ESS:   5.0/32 | plan:  193.8 ms
t=001.0s | Phase 1: Nominal Reach  | EE err: 0.362 m | L1 sh:  +0.3 | L1 elbow:  -0.1 N-m | ESS:  16.2/32 | plan:  189.0 ms
t=001.5s | Phase 1: Nominal Reach  | EE err: 0.347 m | L1 sh:  +0.3 | L1 elbow:  -0.1 N-m | ESS:  15.6/32 | plan:  199.4 ms
t=002.0s | Phase 1: Nominal Reach  | EE err: 0.335 m | L1 sh:  +0.2 | L1 elbow:  +0.1 N-m | ESS:  13.2/32 | plan:  205.2 ms
t=002.5s | Phase 1: Nominal Reach  | EE err: 0.327 m | L1 sh:  -0.0 | L1 elbow:  +0.3 N-m | ESS:  19.8/32 | plan:  183.7 ms
t=003.0s | Phase 1: Nominal Reach  | EE err: 0.320 m | L1 sh:  -0.1 | L1 elbow:  +0.3 N-m | ESS:  18.8/32 | plan:  196.1 ms
t=003.5s | Phase 1: Nominal Reach  | EE err: 0.318 m | L1 sh:  -0.3 | L1 elbow:  +0.4 N-m | ESS:  17.1/32 | plan:  179.9 ms
t=004.0s | Phase 1: Nominal Reach  | EE err: 0.315 m | L1 sh:  -0.2 | L1 elbow:  +0.5 N-m | ESS:  20.7/32 | plan:  193.8 ms
t=004.5s | Phase 2: SABOTAGE       | EE err: 0.364 m | L1 sh: +17.0 | L1 elbow: +13.1 N-m | ESS:   6.1/32 | plan:  191.8 ms
t=005.0s | Phase 2: SABOTAGE       | EE err: 0.356 m | L1 sh: +19.9 | L1 elbow: +15.0 N-m | ESS:  16.8/32 | plan:  183.4 ms
t=005.5s | Phase 2: SABOTAGE       | EE err: 0.339 m | L1 sh: +20.0 | L1 elbow: +15.3 N-m | ESS:  14.5/32 | plan:  199.4 ms
t=006.0s | Phase 2: SABOTAGE       | EE err: 0.323 m | L1 sh: +20.0 | L1 elbow: +15.5 N-m | ESS:  14.5/32 | plan:  188.6 ms
t=006.5s | Phase 2: SABOTAGE       | EE err: 0.312 m | L1 sh: +19.9 | L1 elbow: +15.7 N-m | ESS:  17.9/32 | plan:  209.8 ms
t=007.0s | Phase 2: SABOTAGE       | EE err: 0.306 m | L1 sh: +19.7 | L1 elbow: +15.7 N-m | ESS:  17.2/32 | plan:  204.0 ms
t=007.5s | Phase 3: Returning Home | EE err: 0.170 m | L1 sh:  +1.2 | L1 elbow:  +4.0 N-m | ESS:  17.7/32 | plan:  183.7 ms
t=008.0s | Phase 3: Returning Home | EE err: 0.166 m | L1 sh:  -2.4 | L1 elbow:  +2.7 N-m | ESS:   9.3/32 | plan:  211.0 ms
t=008.5s | Phase 3: Returning Home | EE err: 0.155 m | L1 sh:  -2.6 | L1 elbow:  +2.2 N-m | ESS:  12.4/32 | plan:  187.7 ms
t=009.0s | Phase 3: Returning Home | EE err: 0.141 m | L1 sh:  -2.6 | L1 elbow:  +2.2 N-m | ESS:   9.3/32 | plan:  195.1 ms
t=009.5s | Phase 3: Returning Home | EE err: 0.129 m | L1 sh:  -2.6 | L1 elbow:  +2.1 N-m | ESS:  11.3/32 | plan:  197.1 ms
t=010.0s | Phase 3: Returning Home | EE err: 0.117 m | L1 sh:  -2.4 | L1 elbow:  +2.2 N-m | ESS:  12.5/32 | plan:  184.0 ms
t=010.5s | Phase 1: Nominal Reach  | EE err: 0.273 m | L1 sh:  -2.7 | L1 elbow:  +2.0 N-m | ESS:  13.9/32 | plan:  193.5 ms
t=011.0s | Phase 1: Nominal Reach  | EE err: 0.257 m | L1 sh:  -2.6 | L1 elbow:  +2.2 N-m | ESS:  16.1/32 | plan:  191.8 ms
t=011.5s | Phase 1: Nominal Reach  | EE err: 0.239 m | L1 sh:  -2.6 | L1 elbow:  +2.4 N-m | ESS:   5.0/32 | plan:  200.2 ms
t=012.0s | Phase 1: Nominal Reach  | EE err: 0.220 m | L1 sh:  -2.8 | L1 elbow:  +2.5 N-m | ESS:  15.4/32 | plan:  192.5 ms
t=012.5s | Phase 1: Nominal Reach  | EE err: 0.205 m | L1 sh:  -2.8 | L1 elbow:  +2.5 N-m | ESS:  17.5/32 | plan:  199.6 ms
t=013.0s | Phase 1: Nominal Reach  | EE err: 0.205 m | L1 sh:  -2.7 | L1 elbow:  +2.5 N-m | ESS:   9.8/32 | plan:  193.4 ms
t=013.5s | Phase 1: Nominal Reach  | EE err: 0.219 m | L1 sh:  -2.6 | L1 elbow:  +2.6 N-m | ESS:  15.0/32 | plan:  178.0 ms
t=014.0s | Phase 1: Nominal Reach  | EE err: 0.244 m | L1 sh:  -2.4 | L1 elbow:  +2.5 N-m | ESS:  11.0/32 | plan:  199.6 ms
t=014.5s | Phase 2: SABOTAGE       | EE err: 0.279 m | L1 sh: +14.2 | L1 elbow: +15.5 N-m | ESS:  11.2/32 | plan:  177.2 ms
t=015.0s | Phase 2: SABOTAGE       | EE err: 0.274 m | L1 sh: +16.8 | L1 elbow: +17.4 N-m | ESS:  12.3/32 | plan:  177.7 ms
t=015.5s | Phase 2: SABOTAGE       | EE err: 0.259 m | L1 sh: +16.9 | L1 elbow: +17.7 N-m | ESS:  15.7/32 | plan:  192.7 ms
t=016.0s | Phase 2: SABOTAGE       | EE err: 0.242 m | L1 sh: +17.1 | L1 elbow: +17.8 N-m | ESS:  12.3/32 | plan:  194.4 ms
t=016.5s | Phase 2: SABOTAGE       | EE err: 0.225 m | L1 sh: +16.9 | L1 elbow: +17.8 N-m | ESS:  14.8/32 | plan:  181.3 ms
t=017.0s | Phase 2: SABOTAGE       | EE err: 0.218 m | L1 sh: +17.1 | L1 elbow: +17.9 N-m | ESS:  12.9/32 | plan:  189.3 ms
t=017.5s | Phase 3: Returning Home | EE err: 0.292 m | L1 sh:  +0.6 | L1 elbow:  +4.9 N-m | ESS:  14.3/32 | plan:  193.1 ms
t=018.0s | Phase 3: Returning Home | EE err: 0.319 m | L1 sh:  -1.9 | L1 elbow:  +2.9 N-m | ESS:  13.5/32 | plan:  194.2 ms
t=018.5s | Phase 3: Returning Home | EE err: 0.342 m | L1 sh:  -2.2 | L1 elbow:  +2.4 N-m | ESS:  13.0/32 | plan:  174.8 ms
t=019.0s | Phase 3: Returning Home | EE err: 0.360 m | L1 sh:  -2.4 | L1 elbow:  +2.5 N-m | ESS:  10.1/32 | plan:  177.2 ms
t=019.5s | Phase 3: Returning Home | EE err: 0.379 m | L1 sh:  -2.5 | L1 elbow:  +2.6 N-m | ESS:  15.1/32 | plan:  201.0 ms
t=020.0s | Phase 3: Returning Home | EE err: 0.394 m | L1 sh:  -2.6 | L1 elbow:  +2.6 N-m | ESS:  10.6/32 | plan:  225.4 ms
t=020.5s | Phase 1: Nominal Reach  | EE err: 0.509 m | L1 sh:  -2.9 | L1 elbow:  +2.4 N-m | ESS:  18.9/32 | plan:  197.4 ms
t=021.0s | Phase 1: Nominal Reach  | EE err: 0.548 m | L1 sh:  -2.7 | L1 elbow:  +2.6 N-m | ESS:  15.0/32 | plan:  188.7 ms
t=021.5s | Phase 1: Nominal Reach  | EE err: 0.570 m | L1 sh:  -2.7 | L1 elbow:  +2.7 N-m | ESS:  15.9/32 | plan:  198.1 ms
t=022.0s | Phase 1: Nominal Reach  | EE err: 0.589 m | L1 sh:  -3.0 | L1 elbow:  +2.7 N-m | ESS:  13.9/32 | plan:  192.0 ms
t=022.5s | Phase 1: Nominal Reach  | EE err: 0.609 m | L1 sh:  -2.9 | L1 elbow:  +2.7 N-m | ESS:  16.5/32 | plan:  227.9 ms
t=023.0s | Phase 1: Nominal Reach  | EE err: 0.624 m | L1 sh:  -3.0 | L1 elbow:  +2.9 N-m | ESS:  13.6/32 | plan:  212.5 ms
t=023.5s | Phase 1: Nominal Reach  | EE err: 0.622 m | L1 sh:  -3.1 | L1 elbow:  +3.0 N-m | ESS:  14.6/32 | plan:  190.7 ms
t=024.0s | Phase 1: Nominal Reach  | EE err: 0.623 m | L1 sh:  -3.3 | L1 elbow:  +2.8 N-m | ESS:  12.5/32 | plan:  191.9 ms
t=024.5s | Phase 2: SABOTAGE       | EE err: 0.565 m | L1 sh: +13.6 | L1 elbow: +16.0 N-m | ESS:  13.6/32 | plan:  175.8 ms
t=025.0s | Phase 2: SABOTAGE       | EE err: 0.511 m | L1 sh: +16.6 | L1 elbow: +17.2 N-m | ESS:  13.4/32 | plan:  180.3 ms
t=025.5s | Phase 2: SABOTAGE       | EE err: 0.469 m | L1 sh: +18.0 | L1 elbow: +16.5 N-m | ESS:  10.2/32 | plan:  174.7 ms
t=026.0s | Phase 2: SABOTAGE       | EE err: 0.421 m | L1 sh: +20.0 | L1 elbow: +14.6 N-m | ESS:  15.9/32 | plan:  188.9 ms
t=026.5s | Phase 2: SABOTAGE       | EE err: 0.382 m | L1 sh: +20.2 | L1 elbow: +14.6 N-m | ESS:  15.7/32 | plan:  182.7 ms
t=027.0s | Phase 2: SABOTAGE       | EE err: 0.339 m | L1 sh: +20.3 | L1 elbow: +14.5 N-m | ESS:   9.3/32 | plan:  180.9 ms
t=027.5s | Phase 3: Returning Home | EE err: 0.326 m | L1 sh:  +3.3 | L1 elbow:  +1.9 N-m | ESS:  15.9/32 | plan:  207.4 ms
